external_id,title,merchant,description,category
55895,5% back at Steak Street,Steak Street,"Upscale but casual, Steak Street offers a unique New Orleans atmosphere.  Only the best in aged prime beef and the freshest seafood are served at Steak Street - favorites include Baked Crab N Artichoke Dip, a delightful combination of blue crab, sweet artichokes, and two cheeses, Jerk Chicken Salad, spicy jerk seasoned grilled chicken served over greens, and the famous Duvall Street Filet.  And with half-priced wine every Friday and Sunday and live entertainment on Friday and Saturday nights from 6-9:30 p.m., there is no lack of reasons to visit Steak Street soon and often.  This diverse and exciting restaurant will tantalize your senses.",FOOD
62490,5% back at Annapurna World Vegetarian Cafe @ Silver & Yale,Annapurna World Vegetarian Cafe @ Silver & Yale,"Annapurna's World Vegetarian Café is a world-class Vegan-Vegetarian restaurant offering healthy Gluten Free cuisine at all locations in Albuquerque and Santa Fe. They offer home-style organic vegan and vegetarian food and each location is featured on HealthyDiningFinder.com.. What differentiates Annapurna's is their ability to offer fresh, Ayurvedic vegan food with locally-grown ingredients. Ayurvedic cooking is an ancient Indian system of health that prescribes eating a vegetarian diet of fresh, organic and easy-to-digest foods. All their organic vegan dishes offered contain special ingredients--mainly vegetables and grains in intricate, spicy sauces that are soothing to both mind and body. All items are made fresh daily. If you are looking for an organic vegan restaurant with authentic vegetarian native foods, as well as Gluten Free healthy dishes, then visit Annapurna's World Vegetarian Café. The restaurant offers a warm setting for dining in or for those who wish to eat at home. Even if you are in a hurry you can still eat healthy, native foods that are made with organic vegan food when you order take-out with their Car-Ma curbside service. In addition to a new and exciting menu every day, Annapurna's World Vegetarian Café also provides many freshly baked muffins, scones, cookies and amazing breakfast dishes.",FOOD
66750,5% back at Bonjour Cafe & Bistro,Bonjour Cafe & Bistro,"Having won BEST FRENCH TOAST IN ORANGE COUNTY 2010 by Orange County Weekly, this quaint French Bistro in Dana Point is known for crepes as good as those served in Paris.  The cafe is a casual place with French flavor, quality you can taste, an ambiance which allows you to relax, and prices that are recession-proof.  OC Weekly has made particular note of Bonjour's Omelet de Provence with eggplant, black olives, sun-dried tomatoes and garlic, as well as its Crepe Bonne Maman, filled with strawberry preserves and dusted with powdered sugar. Serving only breakfast and lunch, Bonjour's affordably priced menu also features tartines, or small tarts of country bread topped with breakfast fixings, French toast made with brioche, and eggs of almost any style. For lunch there are soups, salads and sandwiches, including the most popular Parisian snack - Le Croque Monsieur - which consists of a piece of toasted country bread topped with ham, melted Swiss cheese and Bechamel sauce. There is also the fantastic onion soup which is raved about by regulars as the best they have had outside of Paris. Beer and wine are available, and there is a separate children's menu. Offering full table service with delightful indoor and outdoor dining, breakfast and lunch prices range from $6 to $13. Takeout also available. REMEMBER TO ORDER OUR BISTRO SPECIALTIES SUCH AS; OUR FAMOUS HOMEMADE QUICHES, PLEIN OR FILLED CREPES, PASTRIES AND BREADS, BEST ONION  SOUP WEST OF PARIS SOLD BY QUARTS, VOL AU VENT ETC..",FOOD
66782,5% back at Monte's Steak & Seafood,Monte's Steak & Seafood,"As its name implies, steaks and seafood are the specialty of the house.  The dishes include plenty of Creole influence and there are numerous Italian dishes as well.  For starters try the Lobster De Rico, grilled lobster tail served on a bed of spinach, garnished with stuffed shrimp and wrapped with bacon in a honey brown sugar butter sauce or a cup of the popular Cajun Seafood Bisque.  Entrée selections are quite enticing as well with choices like the Stuffed Whole Founder or the Fried Soft Shell Crab.  If you want steak they offer the entire range of favorite cuts in hearty portions and even dishes like the classic Chateaubriand.  This place is family friendly complete with a kid's meal.  The setting is casual, yet elegant and a good choice for a romantic dinner as well.  The prices are moderate and they are open for lunch and dinner daily.   ",FOOD
58529,5% back at Rini's Restaurant & Wine Bar,Rini's Restaurant & Wine Bar,"  This elegant establishment, serves exceptional Italian fare in the gracious tradition of old world Italy! Menu items are cooked to order and bursting with the robust flavors of authentic Italian kitchens. Featuring hearty soups and garden fresh salads bowls, as well as tempting appetizers like Prince Edward Island mussels, served piping hot in a choice of garlic and white wine sauce, or marinara sauce, your meal with be off to a sensational start. Main courses include specialty pasta dishes and traditional Italian favorites made with market fresh seafood selections, succulent veal, savory chicken and the highest quality cuts of prime meats. The artful chefs and friendly staff at Rini's take great pride in their food, all freshly prepared with only the finest ingredients, making a memorable dining experience for you and all your guests. Rini's now offers on- and off-premises catering and has private rooms to host your most special of events.",FOOD
58474,5% back at Vito's,Vito's,Vito & Michael's serves a scrumptious variety of signature and traditional Italian entrees you are sure to enjoy again and again. There is an impressive list of pizza toppings and side dishes. Perfect when you don't feel like cooking and the entire family wants a home cooked meal! Let Vito and Michael serve you and your family a delightful meal in a nice atmosphere.,FOOD
58286,5% back at Ixtapa Grille,Ixtapa Grille,"Ixtapa Grill is where family tradition, pride, experience and the finest ingredients combine bringing the best of old Mexico's recipes from their kitchen to your table.  With a lengthy, but upscale menu, each dish is a unique creation, rather than another version of the same taste like many Mexican restaurants.  Choose from selections like the Spinach Enchilada, Fajita Melt, Tortilla Soup, Steak Picado, or Oceano Burrito.  Ixtapa Grill features a children's menu and daily lunch specials.",FOOD
58564,5% back at W M Penn Tavern,W M Penn Tavern,"W M Penn Tavern is a restaurant and bar with indoor and patio dining, dark woods and bright lights.  Live music, darts, karaoke and satellite TV creates a festive party atmosphere. They serve traditional American cuisine with steak, chicken and seafood entrees. The bar features domestic and imported liquors, mixed drinks, wines and beers. They also provide take out, catering and business lunches.",FOOD
63271,5% back at Iguana,Iguana,"Iguana claims to be the most spectacular Mexican restaurant in New York, and with three floors of dining, drinking and dancing, they may well be! Head over today for a delicious lunch, dinner, or pre or post theater meal of authentic Mexican cuisine. The upscale food  in the Old Mexican-style dining room is always made from the freshest and best ingredients, and while you'll find familiar dishes like guacamole, Tex-Mex fajitas and enchiladas on the menu, you'll also find grilled loin of pork with a chipotle-cranberry reduction, Tex-Mex shrimp scampi, and red snapper Veracruz. They're also pretty famous for their grilled specialty dishes like salmon, tuna and steak, as well as vegetarian fare that is robust and filling. After dinner, unwind with any of their famous 27 flavors of margaritas or mojitos, then head downstairs to the intimate dance lounge. Dance the night away to a variety of music, or chill-out upstairs in the Latin Room which features the hottest salsa, merengue and bachata music. Not only is Iguana ideal for dinner and drinks out, but it is also perfect for groups. From birthdays to bachelorette parties and business events, their dinner and VIP packages may be just what you need.",FOOD
63292,5% back at The Mantel Wine Bar & Bistro,The Mantel Wine Bar & Bistro,"One of the country's best Gourmet restaurants, as recognized by Cornell University, Mantel Wine Bar and Bistro offers fine dining in the heart of the historic Bricktown entertainment district.  The Mantel offers Continental cuisine and an excellent wine selection. Fine dining in a setting of casual warmth, The Mantel also provides convenient parking and theater service when requested.",FOOD
66836,5% back at Clary's Cafe,Clary's Cafe,"Clary's Cafe has been Savannah's favorite greasy spoon for over a century, providing delicious meals for both breakfast and lunch until 4 p.m. daily. Done up in a 1950s diner motif, the ambiance is as charming as the diverse local patronage, featuring adorable knickknacks, colorful paintings, mosaic artwork, family pictures and entertainment memorabilia. They even feature a classic 1950s dining counter equipped with stool-seating, in addition to the ample seating available inside and out. The menu features delicious breakfast selections such as eggs Benedict, malted waffles, and famous house specials like the Hoppel Poppel Fantastic, a concoction of scrambled eggs, chunks of Kosher salami and other fixings. There's also an array of incredible lunch items including fresh salads, flame broiled burgers and tasty sandwiches, so there's something for everyone to chow down on at Clary's Cafe. They even offer a variety of fresh baked desserts like Georgia Pecan Pie and homemade bread pudding, or why not try their famous jumbo homemade eclairs filled with Bavarian creme custard and topped with rich dark chocolate, easily enough to feed more than one person. At Clary's you can expect the most bang for your buck and the food is as enjoyable as the atmosphere, creating a warm, comfortable dining experience for anyone at any age, especially kids. With a separate children's play area equipped with multiple toys, a small table which seats four, a Coca-Cola bench, and an over-sized jukebox filled with today's hottest music, kids will look forward to visiting Clary's almost as much as the adults will look forward to some alone time at the table. So the next time you are looking for a fun, casual meal with your friendly neighborhood community, stop on by Clary's Cafe and treat yourself to some good ole cafe-style cooking!  ",FOOD
66856,5% back at La Summa Cucina Italiana,La Summa Cucina Italiana,"La Summa Cucina Italiana offers patrons a taste of fine cuisine from Sicily and various other regions in Italy.  The setting is casual and the whole family is welcome here.  The menu features a nice variety of appetizers, salads, pastas and entrees.  Start your meal with Carciofo Grande, a traditionally seasoned and stuffed premium artichoke.  Pasta selections include the Risotto of the Day so be sure to inquire.  For an entrée try the Haddock Bianco, Veal Chop, Salsiccia or the 14 oz Prime Sirloin just to name a few.  This restaurant offers full catering service, great take out and are happy to accommodate any special dietary needs.  The prices are moderate at this local, Boston favorite.  ",FOOD
72407,5% back at Alexander & Wayne,Alexander & Wayne,"The inviting Alexander and Wayne is the continuation of one of the oldest wineries in Santa Barbara County, originally founded in 1981. The current owners acquired Alexander and Wayne, and the recent name change from the previous Los Olivos Vintners stands to set this winery and tasting room apart from the other local wine rooms that had also chosen to share the area's moniker. The production at Alexander and Wayne remains small, about 2500 cases of premium handcrafted wines, with their choice of varieties including the classics native to the Burgundy and Bordeaux regions of France, as well as a selection of sweet wines. They've recently added Tempranillo, one of the increasingly popular Spanish varietals, and will continue to add more. The tasting room is located in downtown Los Olivos on Grand Avenue, allowing guests to sample and purchase everything from Chardonnay and Pinot Noir. A wine club offers appealing discounts and other perks. ",FOOD
72700,5% back at Trattoria Zooma,Trattoria Zooma,"Federal Hill's hottest spot, Trattoria Zooma features a sophisticated, modern ambiance combined with delicious traditional Neapolitan (Southern Italian) cuisine. Guests can relax and enjoy the aromas from the wood-fired oven and open kitchen. Executive Chef Jeffery Burgess, who trained under Mario Batali at Babbo in NYC, uses only the freshest seasonal ingredients with house-made pastas, local seafood and farm-raised meats. Zooma's pizza is made by hand using imported Caputo 00 flour and baked in their 800 degree wood oven. A tasting menu is available at the Chef's table where you can watch your food be prepared and interact with the chef. The lounge is upscale, finished in shades of eggplant and mango and features seating at large French windows opening to Atwells Avenue, high-definition screens, exotic cocktails and Al Fresco dining. The menus change seasonally and are available until at least 10pm nightly.  Free Valet parking is available. They look forward to seeing you at Trattoria Zooma.",FOOD
